CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_sync.py
MEM 1.707031 1687896805.9800
MEM 9.437500 1687896806.0851
MEM 15.359375 1687896806.1942
MEM 19.621094 1687896806.3035
MEM 22.089844 1687896806.4146
MEM 23.601562 1687896806.5212
MEM 25.550781 1687896806.6313
MEM 27.406250 1687896806.7409
MEM 28.257812 1687896806.8511
MEM 28.929688 1687896806.9678
MEM 29.378906 1687896807.0688
MEM 29.500000 1687896807.2104
MEM 29.554688 1687896807.3353
MEM 29.761719 1687896807.4506
MEM 29.816406 1687896807.5534
MEM 29.910156 1687896807.6797
MEM 30.074219 1687896807.8043
MEM 30.457031 1687896807.9131
MEM 31.164062 1687896808.0389
MEM 32.246094 1687896808.1572
MEM 33.050781 1687896808.2706
MEM 33.687500 1687896808.3827
MEM 35.195312 1687896808.4901
MEM 36.167969 1687896808.6064
MEM 36.492188 1687896808.7096
MEM 36.933594 1687896808.8184
MEM 37.644531 1687896808.9390
MEM 39.554688 1687896809.0514
MEM 39.851562 1687896809.1674
MEM 40.527344 1687896809.2707
MEM 41.027344 1687896809.3823
MEM 41.667969 1687896809.4903
MEM 42.605469 1687896809.5980
MEM 43.332031 1687896809.7069
MEM 44.582031 1687896809.8158
MEM 45.812500 1687896809.9250
MEM 48.160156 1687896810.0333
MEM 48.304688 1687896810.1432
MEM 48.304688 1687896810.2509
MEM 48.308594 1687896810.3615
MEM 48.328125 1687896810.4689
MEM 48.343750 1687896810.5783
MEM 48.359375 1687896810.6874
MEM 48.359375 1687896810.7971
MEM 48.363281 1687896810.9067
MEM 48.367188 1687896811.0151
MEM 48.367188 1687896811.1256
MEM 48.367188 1687896811.2335
MEM 48.367188 1687896811.3434
MEM 48.367188 1687896811.4500
MEM 48.367188 1687896811.5590
MEM 48.367188 1687896811.7327
MEM 48.367188 1687896811.8449
MEM 48.367188 1687896811.9493
MEM 48.367188 1687896812.0580
MEM 48.367188 1687896812.1676
MEM 48.367188 1687896812.2772
MEM 48.367188 1687896812.3855
MEM 48.367188 1687896812.4956
MEM 48.367188 1687896812.6039
MEM 48.367188 1687896812.7143
MEM 48.367188 1687896812.8224
MEM 48.367188 1687896812.9326
MEM 48.367188 1687896813.0421
MEM 48.367188 1687896813.1504
MEM 48.367188 1687896813.2603
MEM 48.367188 1687896813.3677
MEM 48.367188 1687896813.4768
MEM 48.367188 1687896813.5852
MEM 48.367188 1687896813.6943
MEM 48.367188 1687896813.8023
MEM 48.367188 1687896813.9124
MEM 48.367188 1687896814.0242
MEM 48.367188 1687896814.1326
MEM 48.367188 1687896814.2469
MEM 48.367188 1687896814.3526
MEM 48.367188 1687896814.4609
MEM 48.367188 1687896814.5697
MEM 48.367188 1687896814.6778
MEM 48.367188 1687896814.7893
MEM 48.367188 1687896814.8984
MEM 48.367188 1687896815.0104
MEM 48.367188 1687896815.1191
MEM 48.367188 1687896815.2292
MEM 48.367188 1687896815.3380
MEM 48.367188 1687896815.4470
MEM 48.367188 1687896815.5553
MEM 48.367188 1687896815.6669
MEM 48.367188 1687896815.7741
MEM 48.367188 1687896815.8847
MEM 48.367188 1687896815.9914
MEM 48.367188 1687896816.1048
MEM 48.367188 1687896816.2300
MEM 48.367188 1687896816.3366
MEM 48.367188 1687896816.4700
MEM 48.367188 1687896816.5886
MEM 48.367188 1687896816.7109
MEM 48.367188 1687896816.8282
MEM 48.367188 1687896816.9606
MEM 48.367188 1687896817.0854
MEM 48.367188 1687896817.1981
MEM 48.367188 1687896817.3026
MEM 48.371094 1687896817.4109
MEM 48.371094 1687896817.5201
MEM 48.371094 1687896817.6302
MEM 48.371094 1687896817.7428
MEM 48.371094 1687896817.8499
MEM 48.371094 1687896817.9648
MEM 48.371094 1687896818.0690
MEM 48.371094 1687896818.1770
MEM 48.371094 1687896818.2856
MEM 48.371094 1687896818.3951
MEM 48.371094 1687896818.5037
MEM 48.371094 1687896818.6094
MEM 48.371094 1687896818.7357
MEM 48.371094 1687896818.8436
MEM 48.371094 1687896818.9543
MEM 48.371094 1687896819.0645
MEM 48.371094 1687896819.1715
MEM 48.371094 1687896819.2808
MEM 48.371094 1687896819.3905
MEM 48.371094 1687896819.4988
MEM 48.371094 1687896819.6083
MEM 48.371094 1687896819.7173
MEM 48.371094 1687896819.8263
MEM 48.371094 1687896819.9343
MEM 48.371094 1687896820.0447
MEM 48.371094 1687896820.1547
MEM 48.371094 1687896820.2649
MEM 47.808594 1687896820.3725
MEM 43.437500 1687896820.4838
