CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_async.py
MEM 1.707031 1687896939.3993
MEM 9.218750 1687896939.5140
MEM 13.531250 1687896939.6221
MEM 15.433594 1687896939.7345
MEM 17.960938 1687896939.8435
MEM 20.578125 1687896939.9508
MEM 22.078125 1687896940.0598
MEM 23.585938 1687896940.1681
MEM 25.214844 1687896940.2779
MEM 26.593750 1687896940.3874
MEM 28.660156 1687896940.4985
MEM 29.250000 1687896940.6176
MEM 29.464844 1687896940.7327
MEM 30.039062 1687896940.8474
MEM 30.867188 1687896940.9523
MEM 32.589844 1687896941.0691
MEM 33.613281 1687896941.1711
MEM 34.976562 1687896941.2872
MEM 35.558594 1687896941.3878
MEM 36.613281 1687896941.4966
MEM 37.128906 1687896941.6068
MEM 39.070312 1687896941.7166
MEM 39.750000 1687896941.8279
MEM 41.359375 1687896941.9373
MEM 42.375000 1687896942.0474
MEM 44.203125 1687896942.1549
MEM 45.816406 1687896942.2659
MEM 45.906250 1687896942.3779
