CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_multihilo.py
MEM 1.632812 1687897015.0132
MEM 8.359375 1687897015.1225
MEM 10.578125 1687897015.2320
MEM 15.234375 1687897015.3409
MEM 19.003906 1687897015.4537
MEM 21.324219 1687897015.5597
MEM 23.421875 1687897015.6690
MEM 25.308594 1687897015.7791
MEM 27.582031 1687897015.8865
MEM 29.324219 1687897015.9961
MEM 30.476562 1687897016.1058
MEM 31.300781 1687897016.2170
MEM 31.476562 1687897016.3458
MEM 32.714844 1687897016.4482
MEM 33.632812 1687897016.5583
MEM 34.843750 1687897016.6673
MEM 35.382812 1687897016.7773
MEM 36.757812 1687897016.8888
MEM 37.335938 1687897016.9980
MEM 39.457031 1687897017.1041
MEM 40.292969 1687897017.2117
MEM 41.605469 1687897017.3221
MEM 42.941406 1687897017.4300
MEM 44.597656 1687897017.5400
MEM 49.242188 1687897017.6499
MEM 52.613281 1687897017.7591
MEM 52.632812 1687897017.8695
MEM 53.949219 1687897017.9789
MEM 55.152344 1687897018.0871
MEM 55.273438 1687897018.1963
MEM 56.042969 1687897018.3058
MEM 56.078125 1687897018.4153
MEM 56.085938 1687897018.5260
MEM 56.085938 1687897018.6355
MEM 56.089844 1687897018.7437
MEM 56.089844 1687897018.8528
MEM 56.089844 1687897018.9637
MEM 55.183594 1687897019.0737
MEM 49.710938 1687897019.1857
