CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_multiprocess.py
MEM 1.714844 1687897096.2078
MEM 10.050781 1687897096.3364
MEM 15.664062 1687897096.4603
MEM 20.046875 1687897096.5851
MEM 21.332031 1687897096.7174
CHLD 0 7.890625 1687897096.7542
CHLD 1 7.839844 1687897096.7542
CHLD 2 7.593750 1687897096.7542
CHLD 3 7.558594 1687897096.7542
CHLD 4 7.539062 1687897096.7542
CHLD 5 7.269531 1687897096.7542
CHLD 6 7.148438 1687897096.7542
CHLD 7 4.957031 1687897096.7542
MEM 21.480469 1687897096.8753
CHLD 0 9.414062 1687897096.9176
CHLD 1 9.601562 1687897096.9176
CHLD 2 9.187500 1687897096.9176
CHLD 3 8.433594 1687897096.9176
CHLD 4 8.496094 1687897096.9176
CHLD 5 8.468750 1687897096.9176
CHLD 6 8.421875 1687897096.9176
CHLD 7 8.421875 1687897096.9176
MEM 21.480469 1687897097.0368
CHLD 0 11.699219 1687897097.0756
CHLD 1 11.953125 1687897097.0756
CHLD 2 11.679688 1687897097.0756
CHLD 3 8.753906 1687897097.0756
CHLD 4 9.019531 1687897097.0756
CHLD 5 9.980469 1687897097.0756
CHLD 6 8.718750 1687897097.0756
CHLD 7 8.847656 1687897097.0756
MEM 21.480469 1687897097.1863
CHLD 0 12.144531 1687897097.2190
CHLD 1 12.437500 1687897097.2190
CHLD 2 12.609375 1687897097.2190
CHLD 3 9.367188 1687897097.2190
CHLD 4 9.816406 1687897097.2190
CHLD 5 12.007812 1687897097.2200
CHLD 6 9.210938 1687897097.2200
CHLD 7 9.335938 1687897097.2200
MEM 21.480469 1687897097.3372
CHLD 0 12.660156 1687897097.4000
CHLD 1 13.148438 1687897097.4000
CHLD 2 14.023438 1687897097.4000
CHLD 3 10.769531 1687897097.4000
CHLD 4 11.781250 1687897097.4000
CHLD 5 13.480469 1687897097.4000
CHLD 6 10.707031 1687897097.4000
CHLD 7 11.679688 1687897097.4016
MEM 21.480469 1687897097.5154
CHLD 0 13.125000 1687897097.5571
CHLD 1 13.234375 1687897097.5571
